Country,N_AMP_2014,N_AMP_2015,N_AMP_2016,N_AMP_2017,N_AMP_2018,N_AMP_2019,N_TET_2014,N_TET_2015,N_TET_2016,N_TET_2017,N_TET_2018,N_TET_2019,AMP_PosIsol_2014,AMP_PosIsol_2015,AMP_PosIsol_2016,AMP_PosIsol_2017,AMP_PosIsol_2018,AMP_PosIsol_2019,TET_PosIsol_2014,TET_PosIsol_2015,TET_PosIsol_2016,TET_PosIsol_2017,TET_PosIsol_2018,TET_PosIsol_2019,AMP_PropResHum_2014,AMP_PropResHum_2015,AMP_PropResHum_2016,AMP_PropResHum_2017,AMP_PropResHum_2018,AMP_PropResHum_2019,TET_PropRes_2014,TET_PropRes_2015,TET_PropRes_2016,TET_PropRes_2017,TET_PropRes_2018,TET_PropRes_2019,
Austria,1670,1556,1460,1697,1538,1884,1670,1556,1460,1697,1538,1884,244,210,193,251,212,215,289,249,228,297,255,243,0.146,0.135,0.132,0.148,0.138,0.114,0.173,0.16,0.156,0.175,0.166,0.129,
Belgium,871,,984,980,904,986,871,,984,980,904,986,347,,418,508,539,459,289,,385,450,461,405,0.398,,0.425,0.518,0.596,0.466,0.332,,0.391,0.459,0.51,0.411,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,94,105,76,99,96,,94,35,3,,,,29,26,21,25,32,,18,11,,,,,0.309,0.245,0.276,0.253,0.333,,0.189,0.314,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,407,275,336,310,307,197,407,275,336,310,307,197,162,91,135,126,112,84,175,85,128,121,114,82,0.398,0.331,0.402,0.406,0.365,0.426,0.43,0.309,0.381,0.39,0.371,0.416,
Estonia ,21,72,203,265,266,153,21,72,202,265,266,153,8,16,72,17,21,43,4,15,76,23,22,43,0.381,0.22,0.355,0.064,0.079,0.281,0.19,0.205,0.376,0.087,0.083,0.28,
Finland,308,313,240,214,113,107,308,313,240,214,113,107,54,42,60,53,26,29,60,43,54,52,26,28,0.208,0.134,0.25,0.248,0.23,0.271,0.195,0.137,0.225,0.243,0.23,0.262,
France,1255,1052,852,870,890,843,1255,1052,852,870,890,843,365,343,254,307,254,184,502,440,263,335,308,219,0.291,0.326,0.298,0.353,0.285,0.218,0.4,0.418,0.309,0.385,0.346,0.26,
Germany,,1818,2007,652,3722,4693,,1818,2003,651,3713,4681,,522,871,196,931,1267,,478,543,150,858,1020,,0.287,0.434,0.301,0.25,0.27,,0.263,0.271,0.23,0.231,0.218,
Greece,,509,246,129,,50,,509,246,130,,50,,32,20,105,,3,,49,18,104,,3,,0.063,0.081,0.814,,0.06,,0.096,0.073,0.8,,0.06,
Hungary,1024,813,414,448,847,,1024,813,417,448,555,,258,304,279,285,256,,352,472,285,258,202,,0.252,0.374,0.674,0.636,0.302,,0.344,0.58,0.683,0.576,0.364,,
Ireland,167,199,214,272,185,181,167,199,214,272,185,181,70,67,63,91,43,38,55,68,67,67,49,45,0.365,0.337,0.294,0.335,0.232,0.21,0.327,0.342,0.313,0.246,0.265,0.249,
Italy,111,71,66,423,603,569,111,71,66,423,601,569,34,39,31,158,268,246,41,36,32,171,267,277,0.306,0.549,0.47,0.374,0.444,0.432,0.369,0.507,0.485,0.404,0.444,0.487,
Latvia,26,24,26,22,38,81,26,24,,,,,6,3,4,6,5,16,,,,,,,0.231,0.125,0.154,0.273,0.132,0.198,,,,,,,
Malta,132,126,180,111,104,113,132,126,,,,,7,86,,48,36,38,,22,,,,,0.53,0.683,,0.432,0.346,0.336,,0.171,,,,,
Netherlands,721,787,927,767,735,727,721,787,927,767,735,727,233,216,273,263,207,197,244,236,266,238,214,183,0.323,0.274,0.294,0.343,0.282,0.271,0.338,0.299,0.287,0.31,0.291,0.252,
Poland,,,,687,980,1011,,,,17,41,47,,,,123,237,240,,,,7,14,10,,,,0.179,0.242,0.237,,,,0.412,0.341,0.213,
Portugal,140,140,308,358,256,463,140,140,308,358,256,463,77,72,163,123,96,135,76,71,164,119,103,131,0.55,0.514,0.529,0.344,0.375,0.292,0.54,0.507,0.532,0.332,0.402,0.283,
Romania,216,169,212,133,125,147,216,169,212,133,125,147,46,43,54,32,18,38,29,25,30,37,17,30,0.213,0.254,0.255,0.241,0.144,0.259,0.134,0.148,0.142,0.278,0.136,0.204,
Slovakia,672,775,790,858,763,652,672,775,514,546,530,472,81,51,65,80,82,86,83,57,31,51,75,61,0.121,0.066,0.082,0.093,0.107,0.132,0.123,0.073,0.06,0.093,0.142,0.129,
Slovenia,591,390,311,275,269,357,591,390,311,275,269,358,70,61,36,54,40,125,63,63,41,63,47,130,0.118,0.156,0.116,0.196,0.149,0.35,0.107,0.162,0.132,0.229,0.175,0.363,
Spain,1715,1999,1419,1718,1492,1409,1715,1999,1418,1720,1491,1403,792,902,531,569,627,595,804,878,542,573,604,504,0.462,0.451,0.374,0.331,0.42,0.422,0.469,0.439,0.382,0.333,0.405,0.359,
Sweden,,,,,,605,,,,,,605,,,,,,175,,,,,,160,,,,,,0.289,,,,,,0.264,
United Kingdom,513,615,3454,3490,2989,3115,513,615,633,568,660,618,93,131,798,726,532,576,108,145,189,155,177,122,0.181,0.213,0.231,0.208,0.178,0.185,0.21,0.24,0.299,0.273,0.268,0.197,
Iceland ,,16,23,31,32,26,,16,,,,26,,3,14,14,9,11,,,,,,,,0.188,0.609,0.452,0.281,0.423,,,,,,,
Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
